,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,label1,combination,total,label1x,label2x,label3x,label4x,label5x,label6x,label7x,label8x,label9x,label10x,label11x,label12x,total_per,bestlabelx1,bestlabelx2,bestlabelx3,bestlabel1,bestlabel2,bestlabel3,melhores
10,10,47,47,,47,30-34,Quebec,Female,English,English,Masters Degrees,Full-Time,Other,,,,0.4666666666666667,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.1,0.0,0.1111111111111111,0,0.7692307692307693,,0.4666666666666667-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.1-0.0-0.1111111111111111-0-0.7692307692307693,17,2.3946073442607248e-05,2.3946073442607248e-05,3.591911016391088e-05,2.3946073442607248e-05,0.0,0.0,2.3946073442607248e-05,7.183822032782175e-05,0.0,0.0,0.0,0.0,0.0014166666666666668,label8x,,,7,0,0,0.002238957866883778
11,11,51,51,,51,60-64,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other Managers,,,,0.8666666666666667,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.2222222222222222,0,1.0,,0.8666666666666667-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.2222222222222222-0-1.0,46,7.66001777124123e-07,0.02223396758280479,5.10667851416082e-07,7.66001777124123e-07,2.298005331372369e-06,0.0,1.276669628540205e-06,1.276669628540205e-06,0.0,3.3193410342045323e-06,0.0,0.0,0.003833333333333333,label2x,,,1,0,0,0.02302090674183697
12,12,55,55,,55,25-29,Ontario,Female,English,English,Bachelors Degrees,Full-Time,Unskilled,,,,0.4,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.0,1.0,0,1.0,,0.4-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.0-1.0-0-1.0,103,2.1295761930418226e-08,9.583092868688203e-08,5.323940482604557e-08,1.0647880965209113e-08,0.029420552965754285,2.1295761930418226e-08,2.3425338123460052e-07,1.1712669061730026e-07,0.0,1.3842245254771847e-07,2.3425338123460052e-07,0.0,0.008583333333333333,label5x,,,4,0,0,0.030355341083570957
13,13,60,60,,60,50-54,Ontario,Male,English,English,Elementary School Graduation Cert,Not Employed,Other,,,,0.7333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.5,0.1111111111111111,0,1.0,,0.7333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.5-0.1111111111111111-0-1.0,79,5.134777511759218e-08,2.0539110047036873e-07,1.2836943779398047e-07,1.7971721291157262e-07,2.310649880291648e-07,1.2836943779398047e-07,2.567388755879609e-08,2.5673887558796094e-07,4.364560884995336e-07,0.0,3.8510831338194135e-07,0.0,0.006583333333333333,label9x,,,8,0,0,8.518595892008543e-05
14,14,75,75,,75,65-69,Saskatchewan,Male,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.9333333333333332,1.0,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,1.0,,0.9333333333333332-1.0-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-1.0,8,0.00048828125,0.0,0.000244140625,0.000732421875,0.00048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666666666666666,label4x,,,3,0,0,0.01171875
15,15,78,78,,78,45-49,Ontario,Female,English,French,Bachelors Degrees,Full-Time,Other,,,,0.6666666666666666,0.6666666666666666,1,0.2352941176470588,0.29411764705882354,0.0,0.0,0.1111111111111111,0,1.0,,0.6666666666666666-0.6666666666666666-1-0.2352941176470588-0.29411764705882354-0.0-0.0-0.1111111111111111-0-1.0,88,1.1672593231336658e-07,5.0025399562871384e-08,1.5007619868861418e-07,1.5007619868861418e-07,8.337566593811899e-08,5.0025399562871384e-08,5.0025399562871384e-08,0.0,2.8347726418960454e-07,1.6675133187623797e-07,3.6685293012772354e-07,0.0,0.007333333333333333,label11x,,,10,0,0,7.19031743050338e-05
16,16,91,91,,91,19 Years,Quebec,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,,,,0.2,0.8888888888888888,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.2222222222222222,0,1.0,,0.2-0.8888888888888888-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.2222222222222222-0-1.0,86,1.279688405379547e-07,1.0968757760396116e-07,2.559376810759094e-07,7.31250517359741e-08,5.484378880198058e-08,1.8281262933993525e-07,1.6453136640594174e-07,0.0,0.0,1.279688405379547e-07,4.753128362838317e-07,0.0,0.007166666666666667,label11x,,,10,0,0,7.860943061617217e-05
17,17,93,93,,93,60-64,Quebec,Male,English,French,High School Graduation Certificate,Not Employed,Senior Managers/Owners,,,,0.8666666666666667,0.8888888888888888,0,0.2352941176470588,0.29411764705882354,0.5,0.5,0.5555555555555556,0,1.0,,0.8666666666666667-0.8888888888888888-0-0.2352941176470588-0.29411764705882354-0.5-0.5-0.5555555555555556-0-1.0,63,7.737537168226979e-08,1.5475074336453958e-07,7.737537168226979e-08,2.3212611504680936e-07,0.0322755887898252,4.642522300936187e-07,7.737537168226979e-08,1.5475074336453958e-07,1.083255203551777e-06,6.190029734581583e-07,1.160630575234047e-06,0.0,0.00525,label5x,,,4,0,0,0.03350345856305114
18,18,104,104,,104,65-69,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Skilled,,,,0.9333333333333332,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.7777777777777778,0,1.0,,0.9333333333333332-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.7777777777777778-0-1.0,104,6.733462615815558e-08,6.733462615815558e-08,2.8857696924923816e-08,0.019421220411241415,4.80961615415397e-08,5.771539384984763e-08,1.9238464616615874e-08,0.0,1.731461815495429e-07,1.1543078769969526e-07,1.53907716932927e-07,1.827654138578508e-07,0.008666666666666666,label4x,,,3,0,0,0.019843937575030012
19,19,105,105,,105,40-44,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Other,,,,0.6,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.0,0.0,0.1111111111111111,0,1.0,,0.6-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.0-0.0-0.1111111111111111-0-1.0,37,0.0,1.0671441781149005e-06,1.0671441781149005e-06,2.667860445287251e-06,0.0,3.735004623402152e-06,2.134288356229801e-06,1.6007162671723507e-06,0.0,1.0671441781149005e-06,0.0,6.402865068689403e-06,0.0030833333333333333,label12x,,,11,0,0,0.00047381201508301583
